,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
0,kang_dongwon,브로커,20206257,강동원,고레에다 히로카즈,"['송강호', '강동원', '배두나', '아이유', '이주영']",5.52
1,kang_dongwon,브로커,20206257,강동원,고레에다 히로카즈,"['송강호', '강동원', '배두나', '아이유', '이주영']",5.52
2,song_kangho,브로커,20206257,송강호,고레에다 히로카즈,"['송강호', '강동원', '배두나', '아이유', '이주영']",5.52
3,song_kangho,브로커,20206257,송강호,고레에다 히로카즈,"['송강호', '강동원', '배두나', '아이유', '이주영']",5.52
4,kang_dongwon,반도,20193450,강동원,연상호,"['강동원', '이정현']",5.63
5,kang_dongwon,인랑,20170942,강동원,김지운,"['강동원', '한효주', '정우성', '김무열']",3.87
6,jung_woosung,인랑,20170942,정우성,김지운,"['강동원', '한효주', '정우성', '김무열']",3.87
7,kang_dongwon,쓰나미 LA,20183082,강동원,스콧 만,"['강동원', '토마스 제인']",8.12
8,kang_dongwon,골든슬럼버,20168250,강동원,노동석,"['강동원', '김의성', '한효주', '김성균', '김대명']",5.15
9,kang_dongwon,1987,20170590,강동원,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
10,kang_dongwon,1987,20170590,강동원,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
11,kim_yunseok,1987,20170590,김윤석,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
12,kim_yunseok,1987,20170590,김윤석,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
13,kim_taeri,1987,20170590,김태리,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
14,kim_taeri,1987,20170590,김태리,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
15,moon_sori,1987,20170590,문소리,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
16,moon_sori,1987,20170590,문소리,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
17,yoo_haejin,1987,20170590,유해진,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
18,yoo_haejin,1987,20170590,유해진,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
19,ha_jungwoo,1987,20170590,하정우,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
20,ha_jungwoo,1987,20170590,하정우,장준환,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
21,kang_dongwon,가려진 시간,20154905,강동원,엄태화,"['강동원', '신은수', '이효제']",8.59
22,kang_dongwon,검사외전,20145507,강동원,이일형,"['황정민', '강동원']",7.94
